src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
cdg,9.645233333333334,96.54866666666666,269.6933333333333,97.19166666666666,112.02666666666667,197.00333333333333,9.885933333333334,175.08,165.99666666666667,7.288366666666667,129.56,22.907333333333334,14.315666666666667,285.02666666666664,135.0,106.78666666666666,17.129333333333335,166.00666666666666,72.15866666666666,221.05,0.04225,204.0,182.64,132.96,271.1666666666667,136.00333333333333,184.11333333333334,26.382666666666665,272.0,51.35766666666667,220.81333333333333,91.44366666666667,26.143
scl,198.0,111.00666666666666,320.06,129.58666666666667,126.12,326.66,198.00666666666666,189.03666666666666,350.0133333333333,187.0,137.01,217.05,206.0,300.03,176.99,99.076,225.0,301.4866666666667,118.00333333333333,264.1166666666667,204.0,0.031146666666666666,48.186,156.02666666666667,304.0366666666667,154.00333333333333,361.84705882352944,211.99333333333334,323.01666666666665,245.53666666666666,255.03333333333333,140.04666666666665,217.0
sao,185.42333333333335,117.14046822742475,314.74333333333334,129.0,145.99333333333334,292.06,192.01333333333332,216.00666666666666,336.6333333333333,182.00666666666666,166.00333333333333,205.07333333333332,181.12333333333333,321.0366666666667,173.05,111.02333333333333,221.17666666666668,267.0233333333333,108.00333333333333,291.3466666666667,182.74333333333334,48.195,0.05284,173.02,316.06333333333333,174.03,392.4560810810811,211.12333333333333,316.9033333333333,245.36666666666667,270.06666666666666,130.11333333333334,205.01
sea,137.0,76.55506756756756,209.62333333333333,42.370666666666665,64.884,258.00666666666666,146.00333333333333,66.03733333333334,317.0466666666667,133.0,25.863333333333333,153.64666666666668,163.01666666666668,178.99666666666667,68.54033333333334,92.37233333333333,150.00333333333333,238.21666666666667,57.342,99.718,132.98666666666668,156.01,172.94666666666666,0.05622,117.01333333333334,18.567,189.98666666666668,158.0,168.0,184.18,93.18,52.118,173.55666666666667
icn,264.82666666666665,189.04406779661016,105.96321070234114,159.07666666666665,171.08333333333334,150.10333333333332,282.03333333333336,186.22,258.1166666666667,266.97,139.01,270.0,254.00666666666666,156.81333333333333,176.07,193.02333333333334,265.01666666666665,120.01666666666667,187.98333333333332,39.385,271.2266666666667,304.02666666666664,316.0366666666667,117.04,0.058653333333333335,137.07666666666665,128.95333333333335,305.5966666666667,144.51,308.25,31.507666666666665,170.01666666666668,264.0466666666667
sjc,150.0,63.34414715719063,259.50666666666666,51.10666666666667,47.926,259.01666666666665,145.0,47.47566666666667,294.03333333333336,137.0,7.9103666666666665,144.08,134.00333333333333,163.0,48.306333333333335,71.78266666666667,146.0,236.00666666666666,67.20633333333333,113.00666666666666,136.01,154.00333333333333,174.07333333333332,18.578333333333333,137.07,0.027603333333333334,199.36333333333334,163.0,152.0,206.33,101.0,60.73133333333333,151.69333333333333
sgp,159.99,281.319587628866,40.5,213.07666666666665,190.44107744107745,68.704,157.0,222.10666666666665,175.05666666666667,159.01333333333332,165.20689655172413,157.32333333333332,168.36333333333334,188.53,214.20333333333335,229.24579124579125,150.78,65.01533333333333,228.15333333333334,82.05405405405405,167.52666666666667,345.28627450980395,381.20962199312714,171.3,113.14333333333333,179.54666666666665,0.048626666666666665,187.72,137.19,223.06,65.04466666666667,213.01,180.93333333333334
sto,25.092333333333332,119.03678929765886,323.00666666666666,121.01333333333334,137.02333333333334,208.0,17.869333333333334,197.0,185.02,29.41133333333333,157.0,55.19233333333334,36.208,309.00666666666666,165.73333333333332,129.39,31.828333333333333,181.00333333333333,103.00666666666666,258.09,26.297333333333334,211.99333333333334,211.02333333333334,158.06,306.03,163.0,207.9,0.04226333333333333,297.00333333333333,75.152,267.00666666666666,117.73666666666666,29.886333333333333
syd,275.2866666666667,191.05084745762713,269.7854671280277,197.0,167.01666666666668,317.8664383561644,282.84,192.0,330.00666666666666,272.0,138.02666666666667,275.17845117845116,262.0,11.198666666666666,197.00333333333333,205.0,277.0838926174497,283.80546075085323,201.00666666666666,136.03,272.0,323.0,315.92333333333335,168.0,148.0,152.0,155.57,297.0,0.03445666666666667,350.25333333333333,106.0,206.17333333333335,282.00333333333333
tlv,56.028666666666666,151.5201342281879,229.52,149.41333333333333,162.53666666666666,257.1766666666667,53.49366666666667,245.35,230.07666666666665,58.230333333333334,191.35333333333332,55.091,64.391,345.06,185.04,156.39,46.975,231.16,141.05333333333334,250.12,51.34866666666667,245.33666666666667,245.37666666666667,184.23,308.29333333333335,206.45,243.00666666666666,75.09633333333333,350.2133333333333,0.04104666666666667,282.6433333333333,155.76333333333332,79.58366666666667
nrt,225.00666666666666,147.03678929765886,111.03666666666666,139.01666666666668,131.01333333333332,142.02666666666667,252.48666666666668,153.00333333333333,241.08333333333334,218.89,98.816,261.1870503597122,287.3639846743295,117.90333333333334,158.95666666666668,161.00333333333333,260.51263537906135,133.05333333333334,168.99666666666667,7.9655,223.09333333333333,255.00333333333333,270.00666666666666,93.15333333333334,31.502666666666666,101.0,88.20933333333333,267.0,106.0,282.4266666666667,0.04525,143.15,286.6937269372694
yto,95.67333333333333,43.25866666666667,271.13666666666666,10.839,30.274333333333335,275.03333333333336,102.00333333333333,101.01,242.98,91.943,64.85733333333333,106.02666666666667,102.09,216.01666666666668,61.26233333333333,61.687000000000005,110.03333333333333,257.05,19.998,185.01333333333332,91.37866666666666,140.01,130.11333333333334,52.096000000000004,170.02,60.701,233.10666666666665,117.73666666666666,206.13666666666666,155.8,143.21333333333334,0.05001,105.01
waw,20.609666666666666,118.01010101010101,191.04347826086956,119.01333333333334,140.06,217.0,17.964,197.01,187.07,28.729666666666667,166.00333333333333,49.88433333333333,33.726333333333336,294.0,156.03666666666666,130.0,26.513666666666666,188.0,96.55666666666666,255.01666666666668,26.11,217.0,202.41,173.26666666666668,264.08666666666664,151.42666666666668,204.61333333333334,29.920333333333332,282.0,79.58566666666667,286.61454545454546,105.01,0.03141666666666667
