src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
cdg,9.7011,92.85833333333333,284.03,95.73433333333334,115.99,190.03,9.8082,175.03333333333333,165.99666666666667,6.912233333333333,131.02666666666667,22.954333333333334,14.308666666666667,282.02,150.0,108.18,17.19,164.0,72.281,221.0,0.031076666666666666,204.00333333333333,182.75333333333333,132.88666666666666,271.5233333333333,138.43666666666667,154.10333333333332,27.131666666666668,276.0,51.082608695652176
scl,197.42,115.0,318.0,133.00333333333333,130.00666666666666,323.0,198.0,190.18333333333334,364.01,186.0,137.15,240.08666666666667,197.05,300.0,178.05333333333334,99.13933333333333,244.00333333333333,299.01,119.13,262.0,204.0,0.024513333333333335,48.308,160.0,312.00666666666666,148.00333333333333,310.11,215.0,324.00666666666666,245.07333333333332
sao,190.0,117.00333333333333,311.08666666666664,129.00333333333333,146.67,287.01666666666665,192.01666666666668,216.01,334.56271186440677,185.98333333333332,174.00333333333333,205.00666666666666,189.01,326.00666666666666,158.38333333333333,105.0,221.13333333333333,268.6433333333333,108.02,274.0466666666667,182.85,48.135666666666665,0.03813,172.64,303.01666666666665,182.01666666666668,354.1666666666667,210.18,315.0,247.00333333333333
sea,137.0,75.75366666666666,212.0,42.38533333333333,64.648,261.0,142.0,66.25266666666667,312.00666666666666,129.00666666666666,26.33566666666667,153.57666666666665,140.00333333333333,180.0,75.94466666666666,94.24133333333333,169.86666666666667,234.0,57.21866666666667,99.601,132.92666666666668,160.0,172.62666666666667,0.04625666666666667,128.01333333333332,18.372,181.20666666666668,161.94666666666666,169.87333333333333,184.01666666666668
icn,259.02,189.00333333333333,123.0,165.00666666666666,165.37333333333333,141.00666666666666,280.0,183.98666666666668,260.57666666666665,270.0,132.91333333333333,256.8,243.00666666666666,154.01333333333332,174.20333333333335,192.15666666666667,267.08,120.0,183.04,39.723,271.53333333333336,312.01,303.00333333333333,128.00666666666666,0.06648666666666667,138.0,80.929,297.01666666666665,148.03,310.08
sjc,147.98666666666668,60.885666666666665,209.88666666666666,51.18666666666667,45.583946488294316,262.00333333333333,143.03666666666666,47.54,318.00666666666666,136.0,9.3078,144.32,134.0,164.05666666666667,48.67266666666667,76.42066666666668,146.00333333333333,240.0,67.39166666666667,112.00333333333333,138.46,148.00666666666666,182.14666666666668,18.37933333333333,138.00333333333333,0.02544333333333333,174.06,161.90666666666667,152.0,201.00666666666666
sgp,159.05666666666667,250.14666666666668,57.90233333333333,208.52666666666667,200.05,91.212,153.39333333333335,225.05,175.02,173.59666666666666,169.05,152.03666666666666,161.15,204.08333333333334,218.54515050167225,246.19,144.37333333333333,62.242000000000004,226.49664429530202,72.84333333333333,154.12333333333333,310.05,354.0833333333333,181.07,80.84733333333334,174.05,0.06645666666666666,172.02333333333334,179.20666666666668,221.12333333333333
sto,25.035666666666668,120.00333333333333,324.00666666666666,125.01,141.03678929765886,220.02333333333334,17.809,197.0,185.00333333333333,29.359333333333332,157.00333333333333,48.38366666666666,36.38933333333333,307.1166666666667,153.0,129.15666666666667,30.08866666666667,181.0,85.88466666666666,248.0,27.121333333333332,215.0,210.14333333333335,161.94666666666666,297.00333333333333,161.74,172.05,0.02215,297.07666666666665,78.84766666666667
syd,276.00666666666666,191.01666666666668,279.7060931899642,197.00333333333333,167.02666666666667,321.71985815602835,281.8666666666667,194.05666666666667,341.06666666666666,271.00666666666666,138.08666666666667,296.0,279.0,11.228333333333333,189.0,205.0,304.2133333333333,297.2762237762238,201.03666666666666,136.00333333333333,276.00333333333333,324.01,315.0133333333333,169.85333333333332,148.06,152.01,179.21666666666667,297.17,0.025786666666666666,350.03344481605353
tlv,61.81839464882943,158.00666666666666,231.0,147.04333333333332,169.01333333333332,248.02006688963212,54.066220735785954,241.02333333333334,230.0066889632107,58.19230769230769,192.24414715719064,61.67,64.12733333333333,351.0233333333333,206.01666666666668,161.00333333333333,46.774,229.00666666666666,134.10402684563758,256.07,51.077333333333335,245.0267558528428,247.03,184.01,310.03,201.00666666666666,221.10333333333332,78.807,349.99,0.04091
