src,ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto
mxp,0.04414715719063589,0.0,0.07357859531772576,0.0,0.03979933110367848,0.0,0.06020066889632107,0.043812709030097846,0.04441471571906354,0.0,0.06688963210702341,0.11371237458193979,0.04013377926421405,0.0,0.03612040133779249,0.034113712374582404,0.04749163879598727,0.10033444816053512,0.0,0.09364548494983277,0.0024816053511705688,11.522058823529411,0.0,0.27759197324414714,0.0,0.006688963210702341,10.959866220735785,0.0,0.05016722408026708,0.0,0.5177257525083597,0.03143812709030143,0.0
nrt,0.013377926421404682,0.06040268456375839,0.07357859531772576,0.10702341137123746,0.13377926421404682,0.046822742474916385,0.026755852842809364,0.20735785953177258,0.3745819397993311,0.006688963210702341,0.10735785953177301,0.09729096989966556,0.16722408026755853,0.05886287625418163,0.06020066889632107,8.00361010830325,8.742307692307692,0.16722408026755853,0.07357859531772576,0.006688963210702341,9.81159420289855,0.016444816053511706,0.033444816053511704,0.013377926421404682,0.006688963210702341,0.04983277591973384,10.702341137123742,0.0,0.0,0.0,0.6287625418060201,11.34074074074074,0.2408026755852843
ord,0.013377926421404682,0.06220735785953261,6.552188552188552,0.013377926421404682,0.04548494983277495,0.0,0.0501672240802672,0.08829431438127132,0.04013377926421405,0.08595317725752358,0.07357859531772576,0.25418060200668896,0.006688963210702341,0.0494983277591976,0.06187290969899889,0.006688963210702341,0.047491638795986106,0.0,0.051839464882942006,0.0725752508361212,0.0,0.03678929765886288,0.015491638795986622,0.0,0.1705685618729097,0.04816053511705754,0.22742474916387959,0.037458193979933545,0.10033444816053512,0.0,0.2809364548494983,0.033444816053511704,0.17357859531772568
sao,0.23076923076923078,0.2751677852348993,0.34782608695652173,0.046822742474916385,0.2842809364548495,0.030100334448160536,0.013377926421404682,0.006688963210702341,0.026755852842809364,0.013377926421404682,0.12709030100334448,0.5551839464882943,0.45484949832775917,0.006688963210702341,0.013377926421404682,0.14715719063545152,0.20735785953177258,0.06688963210702341,0.10033444816053512,0.046822742474916385,0.25418060200668896,0.13377926421404682,0.0,0.023521739130434784,0.05652173913043392,0.35451505016722407,19.447457627118645,0.06020066889632107,0.24749163879598662,0.11371237458193979,0.6622073578595318,0.020066889632107024,0.17725752508361203
scl,0.0,0.013377926421404682,0.11371237458193979,0.35785953177257523,0.0,0.3311036789297659,0.18394648829431437,0.006688963210702341,0.013377926421404682,0.07357859531772576,0.06688963210702341,0.23411371237458195,0.026755852842809364,0.020066889632107024,0.0,0.0802675585284281,0.0,0.06020066889632107,0.020066889632107024,0.08361204013377889,0.0,0.06688963210702341,0.2508361204013378,0.07424749163879567,0.016421404682274248,0.046822742474916385,13.964566929133857,0.006688963210702341,0.020066889632107024,0.033444816053511704,0.7591973244147158,0.0,0.09364548494983277
sea,0.0,0.13016949152542143,0.41471571906354515,0.30434782608695654,0.026755852842809364,0.013377926421404682,0.08160535117057015,0.0538461538461539,0.006688963210702341,0.0491638795986596,0.020066889632107024,0.0705685618729102,0.09364548494983277,0.059197324414714876,0.0,0.2809364548494983,0.030100334448160536,0.020066889632107024,0.05585284280936242,0.05150501672241004,0.006688963210702341,0.04715719063545372,0.05953177257525149,0.10702341137123746,0.020066889632107024,0.02491638795986622,10.816053511705686,0.0438127090301007,0.0,0.0,0.3277591973244147,0.44481605351170567,0.05050167224080311
sgp,0.033444816053511704,11.120689655172415,0.15551839464883016,0.0702341137123725,11.043478260869565,0.07625418060200759,0.6013513513513513,10.34448160535117,0.0,0.18729096989966554,11.043478260869565,12.10271186440678,0.11371237458193979,0.8685121107266436,0.026755852842809364,10.675585284280936,10.755852842809364,11.066889632107024,10.42809364548495,11.155405405405405,11.351170568561873,0.11237458193979741,0.14046822742474915,20.689655172413794,13.003937007874017,10.555183946488294,0.016150501672240802,11.117056856187292,4.538461538461538,4.344481605351171,4.080267558528428,3.8729096989966556,3.8862876254180603
sjc,0.0,0.11979865771812019,4.4280936454849495,0.013377926421404682,0.020066889632107024,0.033444816053511704,0.08294314381270992,0.05384615384615468,0.0,0.04816053511705754,0.11705685618729098,0.013377926421404682,0.06688963210702341,0.04280936454849501,0.0,0.12709030100334448,0.006688963210702341,0.0,0.06488294314381139,0.05317725752508401,0.0,0.0,0.04013377926421457,0.10702341137123746,0.006688963210702341,0.036120401337792846,11.210702341137123,0.007591973244147157,0.0,0.0,0.5852842809364549,0.2608695652173913,0.06989966555183766
sto,0.057525083612039986,0.0738255033557047,0.013377926421404682,0.006688963210702341,0.06688963210702346,0.0,0.04013377926421405,0.013377926421404682,0.05785953177257478,0.0,0.05351170568561873,0.1806020066889632,0.04013377926421405,0.0,0.08561872909698985,0.07424749163879504,0.041471571906353394,0.013377926421404682,0.28762541806020064,0.09364548494983277,0.04080267558528367,0.013377926421404682,0.026755852842809364,0.046822742474916385,0.026755852842809364,0.12040133779264214,10.301003344481606,0.0,0.022397993311036788,0.026755852842809364,0.5187290969899658,0.05183946488294276,0.8127090301003345
syd,0.0033444816053511705,0.09183673469387756,12.416666666666666,11.681506849315069,0.0,12.305841924398626,0.033444816053511704,0.013377926421404682,0.25752508361204013,0.0,0.12709030100334448,0.046822742474916385,0.013377926421404682,0.05351170568561873,0.0,0.2668918918918919,0.0,0.0491638795986624,0.006688963210702341,0.0,0.1414141414141414,0.0,0.0,0.26421404682274247,0.0,0.0,10.033444816053512,0.0,0.013377926421404682,0.012441471571906355,0.5016722408026756,0.006688963210702341,0.20735785953177258
