src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
sea,145.2,210.08,41.913,64.60233333333333,265.0,147.64,65.023,329.0,138.01333333333332,26.093333333333334,148.0,132.0,178.08666666666667,68.763,93.87233333333333,147.00666666666666,239.0,133.00333333333333,156.0,170.01,0.037886666666666666,117.03333333333333,18.135666666666665,177.0,164.39666666666668,168.0,180.74,92.914,53.141666666666666,158.99666666666667
icn,269.0833333333333,131.05666666666667,165.01,169.66666666666666,138.01333333333332,280.02,183.03,270.0,261.86333333333334,136.25333333333333,252.00333333333333,232.0,156.99,170.0,200.0,254.0,120.0,277.18,376.73333333333335,312.00333333333333,117.03666666666666,0.04219,138.00333333333333,107.27,299.00333333333333,143.0,306.5233333333333,31.295666666666666,173.04,252.55666666666667
sjc,147.01333333333332,226.55333333333334,51.202333333333335,45.385333333333335,267.0,146.00666666666666,47.593333333333334,318.00333333333333,136.00666666666666,9.355433333333334,144.42333333333335,134.0,163.06,48.00333333333333,77.283,146.00333333333333,236.46,136.0,155.0,177.08,18.143,138.00666666666666,0.02698,174.05333333333334,163.66,153.42,202.98,107.0,59.525,151.26
sgp,158.91333333333333,38.58433333333333,209.52666666666667,189.14333333333335,66.16066666666667,153.12,222.23333333333332,175.0,170.00666666666666,176.05369127516778,151.0,162.0,206.05,203.0,267.00333333333333,156.0,56.091,154.82333333333332,314.0366666666667,360.05333333333334,177.05,107.29,174.02666666666667,0.06956,175.04666666666665,137.03,222.08333333333334,65.60433333333333,216.42333333333335,170.99333333333334
sto,25.068333333333335,321.07666666666665,120.45666666666666,139.0,204.02333333333334,17.793333333333333,197.0,185.02666666666667,29.938333333333333,157.40666666666667,48.33133333333333,36.05166666666667,309.1433333333333,164.00333333333333,133.76666666666668,31.718,182.02333333333334,26.269333333333332,212.0,209.01,164.37666666666667,299.01,163.71333333333334,175.09333333333333,0.023626666666666667,296.68666666666667,76.80766666666666,270.6933333333333,118.37333333333333,29.818333333333335
syd,275.9266666666667,274.65397923875435,197.0,167.0,314.0176056338028,281.99,195.0,342.02666666666664,271.56666666666666,138.01,295.0,282.00333333333333,11.249666666666666,188.22666666666666,206.67,292.0,287.81944444444446,276.0,320.63666666666666,322.49666666666667,168.00333333333333,143.0,153.50666666666666,137.0,296.67,0.03395,347.91,106.0,206.01666666666668,293.0
tlv,58.03076923076923,245.05666666666667,146.12,163.75666666666666,248.03,53.287,245.02333333333334,229.96333333333334,58.37133333333333,191.08333333333334,61.717666666666666,63.955999999999996,345.01666666666665,205.02,164.02,47.108333333333334,230.05333333333334,51.592333333333336,245.11,244.04333333333332,180.64666666666668,306.48,202.99333333333334,222.10333333333332,76.88,347.94,0.035706666666666664,284.13,155.95,73.02433333333333
nrt,241.02666666666667,124.93666666666667,131.49666666666667,131.13,153.02,246.00666666666666,150.0,235.0,227.0,104.00333333333333,251.0,251.0,117.54666666666667,144.0,163.0,243.0,131.0,245.01,254.00666666666666,271.9,92.91333333333334,31.298333333333332,107.00333333333333,65.615,270.6766666666667,106.0,284.31666666666666,0.030896666666666666,150.0,263.0
yto,92.18633333333334,268.0,11.872333333333334,30.139,266.0,99.99366666666667,100.99666666666667,255.0,93.00233333333334,63.618,137.0,95.75666666666666,216.08666666666667,59.998,58.50333333333333,119.0,264.0,91.33933333333333,142.00666666666666,130.10333333333332,53.135000000000005,173.03,59.519333333333336,216.37,118.39,206.02666666666667,155.95,150.0,0.016893333333333333,129.0
waw,20.492333333333335,190.0,113.0,151.08666666666667,213.01333333333332,17.875666666666667,197.0,202.0,28.62,181.19333333333333,46.47966666666667,33.74133333333334,294.00666666666666,169.02333333333334,138.01333333333332,26.416666666666664,188.93666666666667,26.836,222.0,209.0,158.98666666666668,252.75,151.24,170.99,29.813333333333333,293.00333333333333,72.97666666666667,263.0,129.0,0.02325
